title,description,poster_url
The Foundation of Criminal Excellence,"Imants Veide is writing a script about con artists and their schemes. Together with his friend Harijs Kuharjonoks he's trying them out for real for greater authenticity, but gets too entangled in real criminal schemes.",https://image.tmdb.org/t/p/w500/xOTWPQ2SEiHQMliAPNa3p4sDMVr.jpg
Spider-Man: Homecoming,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",https://image.tmdb.org/t/p/w500/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg
Male Fox Tale 3,"Teenager Yun Yue lived in the world for three hundred years. And the master of fox clan Bai Chen can fly back to heaven and become immortal. The encounter of them, made the predestined relationship be covered by mysterious veil.",https://via.placeholder.com/300x450.png?text=No+Image
Smanderoon: With a Vengeance,"When the cellular network in a small town inexplicably stops working, TV repairman Matias Renlund is called in to help solve the matter. It turns out the technical problems are only the prelude to a terrorist threat against the town.",https://via.placeholder.com/300x450.png?text=No+Image
Crow,"One Halloween night, a Detroit man wades through a brutal odyssey of his memories and dreams, searching for the men who left him to die in the trunk of a car. A fan film dedicated to the cult series ""The Crow"" by James O'Barr.",https://image.tmdb.org/t/p/w500/zT2UXZBPkGyqlnDLrxfL30I4DRI.jpg
Inimigo Desconhecido: Enemy Unknown,"A group of mercenaries, goes on a rescue mission to save a group of soldiers in enemy lines, but when they get there, they find something never seen before, now they must join forces to survive this hellish nightmare.",https://via.placeholder.com/300x450.png?text=No+Image
Krishna Gaadi Veera Prema Gaadha,"Krishna and Mahalakshmi have been in love since childhood but obstacles stand in the way. When a mafia gang attacks the Rajanna family and abducts three children, Krishna makes it his mission to rescue them and prove himself to Mahalkshmi.",https://image.tmdb.org/t/p/w500/hhSJy8zMncrf1daXnyaH8YdFx9y.jpg
DJ Wale Babu,"A village lad goes to the city where he finds the love of his life. Circumstances lead him to work as a DJ but eventually lands in jail. When the situation finally gets under his control, he realizes he is just a mere pawn of a politician.",https://image.tmdb.org/t/p/w500/khFHpaaLvdTSNVYsc6zDxmdaLpZ.jpg
DushtaKoota,Prasad - aiming to become CM one day. meets a underworld don Shatrugna and joins him. Eventually gets trapped in a murder case of a journalist. Whether he is able to get out of the Trap? Find what happens in the end.,https://via.placeholder.com/300x450.png?text=No+Image
1917,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",https://image.tmdb.org/t/p/w500/iZf0KyrE25z1sage4SYFLCCrMi9.jpg
Upgrade,"Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.",https://image.tmdb.org/t/p/w500/5f28TXtvHioXirX2n1XH8EJ314v.jpg
